FID,REGION,DIVISION,STATEFP,STATENS,GEOID,STUSPS,NAME,LSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,ObjectId,State,Emergency_Declaration,National_Guard_State_Activation,State_Employee_Travel_Restricti,Statewide_Limits_on_Gatherings_,Statewide_School_Closures,Statewide_Closure_of_Non_Essent,Statewide_Closure_of_Some_or_Al,Essential_Business_Designations,Statewide_Curfew,F1135_Waiver_Status,Extension_of_Individual_Income_,Primary_Election,Domestic_Travel_Limitations,Statewide_Mask_Policy,MajorDisasterDeclaration,MajorDisasterDeclarationDate,GlobalID,VentShare,ReopenPlans,ReopenDoc,TaskForceDocs,SHAPE_Length,SHAPE_Area
44,3,7,05,00068085,05,AR,Arkansas,00,G4000,A,134768100673,2963631791,+34.8955256,-092.4446262,5,Arkansas,Yes,Yes,Yes,N/A,Yes - ordered through end of year,"Limited operations required - restaurants and bars Closure required - gyms, indoor entertainment venues",Yes - Some,No,Local,Approved,Yes- filing and payment,Already held,"Recommendation; All Travelers Coming from Hot Spot Areas",Mandatory (for essential business employees and patrons while on premises),Request Approved,,{7165629C-ADE8-4BCD-984C-584A29415DA3},Yes,Yes,,https://governor.arkansas.gov/news-media/press-releases/governor-hutchinson-announces-new-economic-recovery-task-force,22.093892066615,13.5853885441558
45,3,6,28,01779790,28,MS,Mississippi,00,G4000,A,121530256608,3930182746,+32.6864714,-089.6561377,28,Mississippi,Yes,Yes,No,Yes - stay at home guidance for vulnerable populations,Yes - ordered through end of year,Limited Operations required - Restaurants,No,Yes,Local,Approved,Yes- filing and payment,Already held,No,Mandatory (for essential business employees and patrons while on premises),Request Approved,,{E67DF3DD-D58A-49D8-A171-54A745092E36},No,Yes,,https://msmec.com/governor-reeves-announces-commission-for-economic-recovery/,23.5623840392524,12.069647524287
46,2,4,29,01779791,29,MO,Missouri,00,G4000,A,178052037005,2488190402,+38.3507500,-092.4567826,29,Missouri,Yes,Yes,No,N/A,Yes - ordered through end of year,In-person workforce prohibited at non-essential businesses Limited operations required- restaurants     Closure required - casinos,No,Yes,Local,Approved,Yes- filing and payment,Already held,No,Recommendation,Request Approved,,{87BEB2A5-2305-4450-AC2C-39CBEB9473F1},No,N/A,https://governor.mo.gov/press-releases/archive/governor-parson-highlights-show-me-strong-recovery-plan,,24.9235616602583,18.6150045701987
47,4,8,30,00767982,30,MT,Montana,00,G4000,A,376960880222,3871059371,+47.0511771,-109.6348174,30,Montana,Yes,Yes,No,Yes - stay at home guidance for vulnerable populations,Option to return to in-person instructions at discretion of local school boards/districts,"In-person workforce prohibited at non-essential businesses Limited operations required- restaurants     Closure required - fitness facilties, theaters, recreation facilities, casinos",Yes - Some,Yes,No,Approved,Yes- filing and payment,On Schedule,No,Recommendation,Request Approved,,{EB65BFA0-6837-49D5-AEF1-8009AF0B3F15},No,N/A,https://covid19.mt.gov/Portals/223/Documents/04-22-20%20Directive%20and%20Appx%20-%20Reopening%20Phase%20One.pdf?ver=2020-04-22-124954-977,,36.7091563417715,45.0789146744279
48,2,4,20,00481813,20,KS,Kansas,00,G4000,A,211753159949,1346325556,+38.4985464,-098.3834298,20,Kansas,Yes,Yes,Yes,N/A,Yes - ordered through end of year,In-person workforce prohibited at non-essential businesses,No,Yes,No,Approved,Yes- filing and payment,On Schedule,"Mandatory; Travel Related Quarantine Guidelines - All Travelers",Recommendation,Request Approved,,{BB1377AD-4DB9-4F8F-BFCD-24A99D1DF359},No,N/A,https://governor.kansas.gov/wp-content/uploads/2020/04/Reopen-Kansas-Framework.pdf,,21.4258443176491,22.0047252136833
49,2,3,18,00448508,18,IN,Indiana,00,G4000,A,92787765193,1539541677,+39.9030256,-086.2839503,18,Indiana,Yes,Yes,Yes,Yes - stay at home guidance for vulnerable populations,Yes - ordered through end of year,"In-person workforce prohibited at non-essential businesses Limited operations required - restaurants, bars, nightclubs",Yes - Some,Yes,No,Approved,Yes- filing and payment,Delayed/Rescheduled,No,Mandatory (for essential business employees and patrons while on premises),Request Approved,,{F2A38439-A264-4F4C-BB0D-925C66CC5CD5},No,N/A,https://calendar.in.gov/site/gov/event/governor-announces-roadmap-to-safely-reopen-indiana/,,17.1673584753232,9.9387028296863
50,9,0,72,01779808,72,PR,Puerto Rico,00,G4000,A,8868734851,4922543816,+18.2176480,-066.4107992,43,Puerto Rico,Yes,Yes,No,Yes - stay at home order,Yes - ordered through end of year,Closure required - all nonessential business,Yes - Some,Yes,Yes,Approved,Yes- filing and payment,Delayed/Rescheduled,"Mandatory; Executive Order - All Air Travelers",Mandatory,Request Approved,,{6B9C223A-B07F-4B69-A14E-8EC554C5EDBF},No,N/A,,,7.42767865361076,1.17798947152561
51,2,4,46,01785534,46,SD,South Dakota,00,G4000,A,196345228871,3384471850,+44.4467957,-100.2381762,46,South Dakota,Yes,Yes,No,N/A,Yes - recommended through end of year,"Suggested alternate operations - restaurants, businesses with telework capacity",No,No,No,Approved,N/A,On Schedule,No,Recommendation,Request Approved,,{FBCCE47E-5C56-4B29-A79A-DD3122C63B01},No,N/A,https://news.sd.gov/newsitem.aspx?id=26712,,23.8783170570296,22.5785606079433
52,1,1,25,00606926,25,MA,Massachusetts,00,G4000,A,20204287539,7130763257,+42.1565196,-071.4895915,25,Massachusetts,Yes,Yes,Yes,Yes - stay at home guidance,Yes - ordered through end of year,In-person workforce prohibited at non-essential businesses Limited operations required - restaurants,Yes - Some,Yes,No,Approved,Yes- filing and payment,Already held,"Recommendation; All Travelers",Mandatory,Request Approved,,{77C00314-22F7-4B8B-867C-C819F2B1DAC9},No,N/A,https://www.mass.gov/info-details/reopening-four-phase-approach,,12.0005572405426,2.97785615903442
53,3,5,51,01779803,51,VA,Virginia,00,G4000,A,102254240128,8532012665,+37.5222512,-078.6681938,52,Virginia,Yes,Yes,Yes,N/A,Yes - ordered through end of year,"Limited operations  required - restaurants Closure Required - fitness centers, theaters, other recreational facilities ",Yes - Some,Yes,No,Approved,Yes- payment only,Already held,"Recommendation; All Travelers",Mandatory (for essential business employees and patrons while on premises),Request Approved,,{E34C3615-CB0F-4009-9A97-462C8D7D6567},No,Yes,https://www.governor.virginia.gov/newsroom/all-releases/2020/april/headline-856337-en.html,https://www.governor.virginia.gov/newsroom/all-releases/2020/april/headline-856312-en.html,24.6212029357181,11.2909326409126
54,3,5,11,01702382,11,DC,District of Columbia,00,G4000,A,158351639,18675956,+38.9041031,-077.0172290,11,District of Columbia,Yes,Yes,Yes,N/A,Yes - ordered through end of year,"In-person workforce prohibited at all non-essential businesses Limited operations required - restaurants, bars",Yes - Some,Yes,No,Approved,Yes- filing and payment,On Schedule,No,Mandatory (for essential business employees and patrons while on premises),Request Approved,,{27F6A400-623C-4EFC-BA31-3AE8AB63338A},No,Yes,https://coronavirus.dc.gov/reopendc,https://coronavirus.dc.gov/reopendc,0.684594843785453,0.0183837223647942
55,2,4,19,01779785,19,IA,Iowa,00,G4000,A,144664158135,1081293682,+42.0700243,-093.4933473,19,Iowa,Yes,Yes,Yes,Yes - stay at home guidance for vulnerable populations,Yes - ordered through end of year,"Closures required - spas, salons, pools",Yes - Some,No,No,Approved,Yes- filing and payment,"Primary on schedule; already held caucus","Recommendation; All Travelers",Recommendation,Request Approved,,{D03367F7-28DD-41F5-9D66-E5D86B5041E8},No,N/A,,,20.7718562015924,15.8575889043365
56,4,8,04,01779777,04,AZ,Arizona,00,G4000,A,294198661567,1027245114,+34.2039355,-111.6063565,4,Arizona,Yes,Yes,No,Yes - stay at home guidance for vulnerable populations,Yes - ordered through end of year,"Limited operations recommended- restaurants in counties with confirmed cases
Closures recommended - bars, movie theaters, and gyms in counties with confirmed cases",No,Yes,Local,Approved,Yes- filing and payment,Already held,No,Recommendation,Request Approved,,{6C939C4F-1F62-4356-AC09-E2A9175A98FE},No,N/A,https://azgovernor.gov/sites/default/files/return_stronger-2.pdf,,23.9268466359241,28.9183550656761
